category1;category2;السياق بأكمله;المتوقع
everyday_situation general_knowledge;PerformingArts;تم اختيار بنيامين بدلاً من بريت ليكون فنان الماكياج للمسرحية. بريت كان أقل [MASK].;خبرة مهارة
everyday_situation general_knowledge;PerformingArts;الكوميدي سرد بعض النكات و قدم عرضا مميزا.طيلة السهرة تسمع الجمهور [MASK].;يضحك
everyday_situation general_knowledge;PerformingArts;رفع الدف بيديه.اراد ان يضيف [MASK].;إيقاعًا لمسة نغمة لحنا جوا
everyday_situation general_knowledge;PerformingArts;قام الممثلون بالتحضير للعرض المسرحي لمدة شهر.كان اهل المدينة يحبون ارتياد [MASK].;المسرح
everyday_situation general_knowledge;PerformingArts;أعضاء الموكب يسيرون في الشارع وهم يحملون آلاتهم. يصفق لهم الجمهور بينما هم يقرعون [MASK].;الطبول
everyday_situation general_knowledge;PerformingArts;وقف على المسرح ينتظر دوره بقلبٍ خافق.كان متحمسًا لأداء دوره في [MASK].;المسرحية العرض
general_knowledge;PerformingArts;تدربت لأسابيع على حركاتها الرشيقة مرتدية زي البجعة البيضاء. أخيرًا حان وقت أداء رقصة [MASK].;الباليه
general_knowledge;PerformingArts;عندما سافر الى البرازيل، شاهد امراة ترتدي فستانًا ملونًا تحرك يديها بإيقاع سريع.كانت تقدم عرضًا لرقصة [MASK].;السامبا
everyday_situation general_knowledge;PerformingArts;مشى على حبل رفيع فوق السيرك.كان الجميع يخشون عليه من [MASK].;السقوط الوقوع
everyday_situation general_knowledge;PerformingArts;صعد إلى المنصة بملابس رسمية وورقة في يده.بدأ بإلقاء [MASK].;الخطاب
general_knowledge;Music(instruments,singing);ضغط على الأوتار المعدنية باستخدام ريشة بلاستيكية.ان يعزف مقطوعة على آلة [MASK].;الجيتار
everyday_situation general_knowledge;Music(instruments,singing);كان يعزف الموسيقى كثيرا في ساحة المدينة.هذا يجلب السعادة للناس الذين [MASK].;يستمعون يسمعون يسمعونها يمرون
everyday_situation;Music(instruments,singing);كان تامر يتفرج في الرجل الذي اخرج الته من جيبه و وضح كيفية تشكيل الفم للعبها.فور انتهاء العرض قام تامر بشراء [MASK].;هارمونيكا الالة الهارمونيكا
general_knowledge;Music(instruments,singing);اعجبت السائحة الأجنبية بموسيقى الطرب.قررت فور عودتها الى بلدها تعلم العزف على آلة [MASK].;العود الناي الكمان القانون
everyday_situation general_knowledge;Music(instruments,singing);ذهب المغني الى الاستوديو.بعد عدة محاولات استطاع ان يكمل تسجيل [MASK].;الاغنية اغنيته البومه
everyday_situation general_knowledge;Music(instruments,singing);يرفع احمد آلته إلى ذقنه ويستعد. يقوم بعزف أغنية حزينة على [MASK].;الكمان
general_knowledge;Music(instruments,singing);تظهر لقطة مقربة للجيتار .في اللقطة الموالية تظهر اصابع تنقر على [MASK].;الاوتار
everyday_situation general_knowledge;Music(instruments,singing);شاهد الفنان الموجات الصوتية على الشاشة.كان يعدل على [MASK].;الأغنية الصوت المقطع التسجيل
everyday_situation general_knowledge;Music(instruments,singing);دمعت عينا الجدة عند سماع اللحن.ذكرتها الأغنية بـ [MASK].;شبابها ذكريات الذكريات الماضي
everyday_situation general_knowledge;Music(instruments,singing);توقف المايسترو للحظة ثم أشار بيديه بحركة واسعة.استمتع الجميع بعزف [MASK].;الأوركسترا الفرقة
everyday_situation general_knowledge;Music(instruments,singing);انتقلت الألحان بين الآلات المختلفة بتناغم مذهل.استمع الجمهور بانتباه إلى [MASK].;سيمفونية السيمفونية المقطوعة
general_knowledge;Music(instruments,singing);وضع العازف الآلة تحت ذقنه وحرك القوس ذهابًا وإيابًا.بدأ يعزف مقطوعة على [MASK].;الكمان
everyday_situation general_knowledge;Music(instruments,singing);ارتعش صوت المطرب عندما وصل للجملة العاطفية.كان يؤدي أغنية [MASK].;حزينة عاطفية
general_knowledge;Music(instruments,singing);وقف العازف أمام الجمهور بآلة كبيرة نحاسية.بدأ العزف على الة [MASK].;البوق
everyday_situation general_knowledge;Music(instruments,singing);استمع الولد إلى أغنية ثلاث مرات متتالية.كان يحاول حفظ [MASK].;الكلمات
everyday_situation general_knowledge;Music(instruments,singing);وضعت المطربة السماعات على أذنيها.بدأت تسجيل [MASK].;صوتها أغنيتها الصوت الأغنية
everyday_situation general_knowledge;Music(instruments,singing);كرر الطفل النوتة 20 مرة بنفس السرعة.كان يريد إتقان [MASK].;الإيقاع
everyday_situation;Music(instruments,singing);وقف أحمد أمام الشاشة يتابع الكلمات المتحركة بتركيز وهو ماسك للميكروفون.كان دائما يذهب هو و اصدقاءه لسهرات [MASK].;كاريوكي كاراوكي
everyday_situation general_knowledge;Music(instruments,singing);رفع الرجل الآلة الطويلة بيديه وبدأ يضرب على سطحها الجلدي بإيقاع سريع.انطلق الجميع يرقصون على نغمات [MASK].;الدربوكة
everyday_situation general_knowledge;CraftsandHobbies;استخدمت المرأة أسلوبًا لطيفًا عند طلاء الجرة ولكنها مارست ضغطًا أكبر عند طلاء المزهرية.كانت المزهرية أقل [MASK].;هشاشة
general_knowledge;CraftsandHobbies;كان يوسف يريد صنع منحوتة فنية. اختار قالباً من [MASK].;الجص الطين
everyday_situation general_knowledge;CraftsandHobbies;استخدمت إبرتين طويلتين وخيطًا ملونًا لصنع شيء دافئ.كانت جدتي تعلمني فن [MASK].;الحياكة
everyday_situation general_knowledge;CraftsandHobbies;أمسكت بقلم رصاص وورقة بيضاء لأسجل ما تخيلته.أهدتني أمي مجموعة ألوان لممارسة هواية [MASK].;الرسم
general_knowledge;CraftsandHobbies;شكلت قطعة من الطين بيدي لتصبح تمثالاً صغيرًا.في ورشة الفنون، تعلمت أساسيات فن [MASK].;النحت
